,Remaining NaNs,Unique Values,Data Type
FPX,0,9,int64
FMX,0,6,int64
HHX,0,25008,int64
INTV_QRT,0,4,int64
WTIA_SA,0,6824,float64
WTFA_SA,0,13111,int64
SEX,0,2,int64
HISPAN_I,0,8,int64
R_MARITL,0,5,int64
MRACRPI2,0,9,int64
RACERPI2,0,6,int64
MRACBPI2,0,8,int64
AGE_P,0,68,int64
RECTYPE,0,1,int64
SRVY_YR,0,1,int64
INTV_MON,0,12,int64
REGION,0,4,int64
PSTRAT,0,52,int64
PPSU,0,100,int64
PROX1,0,2,int64
PROX2,0,4,int64
LATEINTA,0,2,int64
PROXYSA,0,3,int64
PAR_STAT,0,3,int64
DOINGLWA,0,5,int64
WHYNOWKA,0,11,int64
EVERWRK,0,4,int64
SUPERVIS,0,4,int64
WRKCATA,0,8,int64
BUSINC1A,0,4,int64
LOCALL1B,0,11,int64
WRKLONGH,0,4,int64
HOURPDA,0,4,int64
PDSICKA,0,4,int64
ONEJOB,0,4,int64
WRKLYR4,0,6,int64
INDSTRN1,0,82,int64
INDSTRN2,0,24,int64
OCCUPN1,0,97,int64
OCCUPN2,0,26,int64
YRSWRKPA,0,36,int64
DIFAGE2,0,83,int64
HYPEV,0,2,int64
HYPDIFV,0,3,int64
HYPMDEV2,0,4,int64
HYPMED2,0,3,int64
CHLEV,0,4,int64
CHLYR,0,3,int64
CHLMDEV2,0,3,int64
CHLMDNW2,0,3,int64
CHDEV,0,2,int64
ANGEV,0,4,int64
MIEV,0,2,int64
HRTEV,0,2,int64
STREV,0,4,int64
EPHEV,0,4,int64
COPDEV,0,4,int64
ASPMEDEV,0,2,int64
ASPMEDAD,0,3,int64
ASPMDMED,0,3,int64
ASPONOWN,0,2,int64
AASMEV,0,4,int64
AASSTILL,0,3,int64
AASAGE,0,76,int64
AASAGE16,0,3,int64
AASMYR,0,3,int64
AASERYR1,0,2,int64
AASMHSP,0,2,int64
AASMPMED,0,3,int64
AASMTYP,0,3,int64
AASMCAN,0,3,int64
AASMDTP2,0,4,int64
AASWMP,0,3,int64
AASCLASS,0,3,int64
AAS_REC,0,3,int64
AAS_RES,0,3,int64
AAS_MON,0,3,int64
AAPENVLN,0,4,int64
AASYMPT,0,4,int64
AARESCUE,0,3,int64
AAACTLIM,0,3,int64
AASSTAT,0,4,int64
AASEMP,0,3,int64
AASWKREL,0,3,int64
AASDWKRL,0,3,int64
ULCEV,0,4,int64
ULCYR,0,3,int64
CANEV,0,2,int64
CNKIND1,0,4,int64
CNKIND2,0,4,int64
CNKIND3,0,4,int64
CNKIND4,0,4,int64
CNKIND5,0,4,int64
CNKIND6,0,3,int64
CNKIND7,0,4,int64
CNKIND8,0,4,int64
CNKIND9,0,4,int64
CNKIND10,0,4,int64
CNKIND11,0,4,int64
CNKIND12,0,4,int64
CNKIND13,0,4,int64
CNKIND14,0,4,int64
CNKIND15,0,4,int64
CNKIND16,0,4,int64
CNKIND17,0,4,int64
CNKIND18,0,3,int64
CNKIND19,0,4,int64
CNKIND20,0,4,int64
CNKIND21,0,4,int64
CNKIND22,0,4,int64
CNKIND23,0,4,int64
CNKIND24,0,4,int64
CNKIND25,0,4,int64
CNKIND26,0,4,int64
CNKIND27,0,4,int64
CNKIND28,0,4,int64
CNKIND29,0,3,int64
CNKIND30,0,4,int64
CNKIND31,0,2,int64
DIBEV1,0,5,int64
DIBPRE2,0,2,int64
DIBPILL1,0,3,int64
INSLN1,0,2,int64
AHAYFYR,0,2,int64
SINYR,0,2,int64
CBRCHYR,0,4,int64
KIDWKYR,0,4,int64
LIVYR,0,4,int64
JNTSYMP,0,2,int64
JMTHP1,0,4,int64
JMTHP2,0,4,int64
JMTHP3,0,4,int64
JMTHP4,0,4,int64
JMTHP5,0,4,int64
JMTHP6,0,4,int64
JMTHP7,0,4,int64
JMTHP8,0,4,int64
JMTHP9,0,4,int64
JMTHP10,0,4,int64
JMTHP11,0,4,int64
JMTHP12,0,4,int64
JMTHP13,0,4,int64
JMTHP14,0,4,int64
JMTHP15,0,4,int64
JMTHP16,0,4,int64
JMTHP17,0,4,int64
JNTCHR,0,3,int64
JNTHP,0,3,int64
ARTH1,0,4,int64
ARTHLMT,0,3,int64
PAINECK,0,2,int64
PAINLB,0,2,int64
PAINLEG,0,3,int64
PAINFACE,0,2,int64
AMIGR,0,2,int64
ACOLD2W,0,3,int64
AINTIL2W,0,3,int64
PREGNOW,0,2,int64
PREGFLYR,0,4,int64
HRAIDNOW,0,4,int64
HRAIDEV,0,4,int64
AHEARST1,0,7,int64
AVISION,0,3,int64
ABLIND,0,2,int64
LUPPRT,0,4,int64
HYPYR1,0,3,int64
AWZMSWKP,0,34,int64
AROUTINP,0,16,int64
CANAGE1,0,36,int64
CANAGE2,0,11,int64
CANAGE3,0,23,int64
CANAGE4,0,10,int64
CANAGE5,0,69,int64
CANAGE6,0,50,int64
CANAGE7,0,50,int64
CANAGE8,0,21,int64
CANAGE9,0,5,int64
CANAGE10,0,34,float64
CANAGE11,0,8,int64
CANAGE12,0,29,int64
CANAGE13,0,12,int64
CANAGE14,0,39,float64
CANAGE15,0,52,int64
CANAGE16,0,60,int64
CANAGE17,0,10,int64
CANAGE18,0,39,int64
CANAGE19,0,11,int64
CANAGE20,0,50,float64
CANAGE21,0,13,int64
CANAGE22,0,73,int64
CANAGE23,0,65,int64
CANAGE24,0,10,int64
CANAGE25,0,13,int64
CANAGE26,0,23,float64
CANAGE27,0,22,float64
CANAGE28,0,46,int64
CANAGE29,0,52,int64
CANAGE30,0,65,int64
DIBAGE1,0,87,int64
ACHRC14A,0,1,int64
ADURA14A,0,43,int64
ADURB14A,0,2,int64
AFLHC19_,0,2,int64
AFLHC20_,0,2,int64
AFLHC21_,0,2,int64
AFLHC22_,0,2,int64
AFLHC23_,0,2,int64
AFLHC24_,0,2,int64
AFLHC25_,0,2,int64
AFLHC26_,0,2,int64
AFLHC27_,0,2,int64
AFLHC28_,0,2,int64
AFLHC29_,0,2,int64
AFLHC30_,0,2,int64
AFLHC31_,0,2,int64
AFLHC32_,0,2,int64
AFLHC33_,0,2,int64
AFLHC34_,0,2,int64
AFLHCA1,0,2,int64
AFLHCA10,0,2,int64
AFLHCA11,0,2,int64
AFLHCA12,0,2,int64
AFLHCA13,0,2,int64
AFLHCA15,0,2,int64
AFLHCA16,0,2,int64
AFLHCA17,0,2,int64
AFLHCA18,0,2,int64
AFLHCA2,0,2,int64
AFLHCA3,0,2,int64
AFLHCA4,0,2,int64
AFLHCA5,0,2,int64
AFLHCA6,0,2,int64
AFLHCA7,0,2,int64
AFLHCA8,0,2,int64
AFLHCA9,0,2,int64
AFLHCA90,0,2,int64
AFLHCA91,0,2,int64
AHSTATYR,0,5,int64
ALCHRC1,0,3,int64
ALCHRC10,0,1,int64
